year,state,registered_users,app_opens
2020,gujarat,13605203,230497353
2020,sikkim,148543,2478670
2020,nagaland,192188,2922121
2020,mizoram,78731,1096182
2020,chhattisgarh,4190601,109900467
2020,jammu & kashmir,1079022,16018751
2020,goa,527584,10991118
2020,arunachal pradesh,231292,4472667
2020,delhi,9747968,243433752
2020,uttarakhand,2596244,52564888
2021,puducherry,346279,7914507
2021,tamil nadu,16632608,348801714
2021,uttar pradesh,29482075,639718324
2021,madhya pradesh,14839427,482500276
2021,andhra pradesh,18363733,957709447
2021,tripura,439636,6009660
2021,lakshadweep,4577,47283
2021,manipur,312668,3709227
2021,maharashtra,37077537,1101976484
2021,dadra & nagar haveli & daman & diu,321396,7302462
2021,meghalaya,190869,2939026
2021,andaman & nicobar islands,57758,1004336
2021,haryana,9827905,266686683
2021,rajasthan,17661088,632535059
2021,ladakh,69919,1184204
2021,punjab,5568777,81052268
2021,assam,3358448,56752364
2021,jharkhand,5313049,141731331
2021,odisha,9233009,301315474
2021,bihar,13946288,355792608
2021,kerala,6936943,108918733
2021,karnataka,24095832,1084917385
2021,chandigarh,419998,7919533
2021,telangana,17149069,920040042
2021,himachal pradesh,1622951,24228094
2021,west bengal,16808799,316832674
2021,gujarat,14670126,264732874
2021,sikkim,160213,2795331
2021,nagaland,207808,2980581
2021,mizoram,85750,1193214
2021,chhattisgarh,4514551,124648704
2021,jammu & kashmir,1174818,18834009
2021,goa,570035,15467672
2021,arunachal pradesh,251240,4796708
2021,delhi,10467210,281201600
2021,uttarakhand,2802122,59282260
2021,puducherry,369961,5178916
2021,tamil nadu,17804542,343968474
2021,uttar pradesh,31651894,673598864
2021,madhya pradesh,15940935,727741649
2021,andhra pradesh,19620905,1044705436
2021,tripura,472153,9500881
2021,lakshadweep,4896,40301
2021,manipur,335409,7269002
2021,maharashtra,39664697,1208083592
2021,dadra & nagar haveli & daman & diu,344994,5062983
2021,meghalaya,205686,7290804
2021,andaman & nicobar islands,62095,2248223
2021,haryana,10530594,234052506
2021,rajasthan,18980985,1072091232
2021,ladakh,75048,4391632
2021,punjab,5976548,85894089
2021,assam,3617056,102003890
2021,jharkhand,5701503,184234107
2021,odisha,9891029,367576494
2021,bihar,14972134,371198660
2021,kerala,7416083,87814415
2021,karnataka,25751023,1051089714
2021,chandigarh,448572,4733924
2021,telangana,18306880,905317692
2021,himachal pradesh,1743151,43269977
2021,west bengal,17979979,275341466
2021,gujarat,15735981,282432543
2021,sikkim,171740,4541121
2021,nagaland,223337,6716892
2021,mizoram,92552,4014597
2021,chhattisgarh,4837055,205784717
2021,jammu & kashmir,1261267,34274559
2021,goa,609106,12710361
2021,arunachal pradesh,270572,13025849
2021,delhi,11182699,164997774
2021,uttarakhand,3004040,78380036
2021,puducherry,396609,6899592
2021,tamil nadu,19127440,459826734
2021,uttar pradesh,34151882,803890116
2021,madhya pradesh,17210233,929572924
2021,andhra pradesh,21059898,1258536879
2021,tripura,509929,12279146
2021,lakshadweep,5287,49127
2021,manipur,361749,9743772
2021,maharashtra,42581217,1565370852
2021,dadra & nagar haveli & daman & diu,371874,7162734
2021,meghalaya,223065,9952956
2021,andaman & nicobar islands,66982,3121625
2021,haryana,11325336,296884105
2021,rajasthan,20499465,1429553825
2021,ladakh,81210,7099550
2021,punjab,6434862,107614155
2021,assam,3918480,135288631
2021,jharkhand,6151843,230475998
2021,odisha,10652490,492879704
2021,bihar,16160771,421801379
2021,kerala,7949425,116282717
2021,karnataka,27614221,1366781087
2021,chandigarh,480463,6378807
2021,telangana,19615278,1107529197
2021,himachal pradesh,1880626,52970288
2021,west bengal,19323278,348588666
2021,gujarat,16946761,379987151
2021,sikkim,184693,5714565
2021,nagaland,241797,8661991
2021,mizoram,100647,5385718
2021,chhattisgarh,5206084,276486076
2021,jammu & kashmir,1359860,45025197
2021,goa,653458,16575111
2021,arunachal pradesh,293073,17209654
2021,delhi,11980061,223844376
2021,uttarakhand,3233509,90886530
2021,puducherry,423167,14257568
2021,tamil nadu,20433142,685861440
2021,uttar pradesh,36617655,1175923794
2021,madhya pradesh,18456243,956630781
2021,andhra pradesh,22489029,1447717601
2021,tripura,546292,10728702
2021,lakshadweep,5638,67320
2021,manipur,387746,7603294
2021,maharashtra,45482506,2031739248
2021,dadra & nagar haveli & daman & diu,398963,15009455
2021,meghalaya,240268,6048594
2021,andaman & nicobar islands,71780,2112910
2021,haryana,12116439,442176987
2021,rajasthan,21977202,1185124031
2021,ladakh,87057,2665203
2021,punjab,6880103,138427499
2021,assam,4209591,130600435
2021,jharkhand,6596196,284960009
2021,odisha,11399235,567351446
2021,bihar,17335981,647400838
2021,kerala,8473810,213542857
2021,karnataka,29459646,1941558513
2021,chandigarh,512092,11603954
2021,telangana,20917649,1407599392
2021,himachal pradesh,2013747,47670982
2021,west bengal,20644527,512335839
2021,gujarat,18139201,487846209
2021,sikkim,197407,5525552
2021,nagaland,259990,6383337
2021,mizoram,108405,2094118
2021,chhattisgarh,5565481,251752583
2021,jammu & kashmir,1456810,36012148
2021,goa,697178,28288254
2021,arunachal pradesh,314944,11230295
2021,delhi,12785127,345669353
2021,uttarakhand,3460015,110928354
2022,puducherry,448051,3938657
2022,tamil nadu,21667020,638490275
2022,uttar pradesh,38999692,836926025
2022,madhya pradesh,19656147,1678266475
2022,andhra pradesh,23857951,1254785973
2022,tripura,582124,19322963
2022,lakshadweep,5990,45410
2022,manipur,411900,22637747
2022,maharashtra,48227630,2157769514
2022,dadra & nagar haveli & daman & diu,424570,3910792
2022,meghalaya,255839,23634106
2022,andaman & nicobar islands,76288,3847407
2022,haryana,12866988,217228467
2022,rajasthan,23398857,2570606469
2022,ladakh,92492,8902080
2022,punjab,7302726,117482807
2022,assam,4492589,281642453
2022,jharkhand,7025275,331355981
2022,odisha,12124779,613855465
2022,bihar,18484658,316991599
2022,kerala,8972299,94047893
2022,karnataka,31200349,1727054045
2022,chandigarh,541549,2321685
2022,telangana,22150612,1168864524
2022,himachal pradesh,2143483,77278278
2022,west bengal,21919787,236131065
2022,gujarat,19265314,521776939
2022,sikkim,209616,12440193
2022,nagaland,276483,24206053
2022,mizoram,115295,14886657
2022,chhattisgarh,5916961,448503438
2022,jammu & kashmir,1549320,62115857
2022,goa,738628,18678798
2022,arunachal pradesh,335339,41418559
2022,delhi,13539197,57524153
2022,uttarakhand,3674829,115224382
2022,puducherry,471663,3830290
2022,tamil nadu,22829720,740265406
2022,uttar pradesh,41247289,947480495
2022,madhya pradesh,20766417,1902866132
2022,andhra pradesh,25157264,1378736856
2022,tripura,615782,21343111
2022,lakshadweep,6327,38450
2022,manipur,434563,26236900
2022,maharashtra,50802786,2492946019
2022,dadra & nagar haveli & daman & diu,449016,3886292
2022,meghalaya,269943,27458992
2022,andaman & nicobar islands,80530,5180013
2022,haryana,13576065,236091309
2022,rajasthan,24716181,2771434947
2022,ladakh,97517,14768129
2022,punjab,7702100,138965337
2022,assam,4755787,339929089
2022,jharkhand,7426174,379053485
2022,odisha,12801990,670311093
2022,bihar,19569894,348588438
2022,kerala,9442533,98876392
2022,karnataka,32831447,2065359837
2022,chandigarh,569582,2285979
2022,telangana,23314363,1276259370
2022,himachal pradesh,2264407,102488683
2022,west bengal,23124388,250276369
2022,gujarat,20321596,609943436
2022,sikkim,220994,16993937
2022,nagaland,292104,28652431
2022,mizoram,121535,16646550
2022,chhattisgarh,6238349,501411120
2022,jammu & kashmir,1635570,89986310
2022,goa,777779,19062157
2022,arunachal pradesh,354528,49889518
2022,delhi,14260143,52553080
2022,uttarakhand,3877056,156465685
2022,puducherry,496570,4186911
2022,tamil nadu,24019964,866738343
2022,uttar pradesh,43537920,1035702397
2022,madhya pradesh,21884220,2026371749
2022,andhra pradesh,26496330,1357005703
2022,tripura,649143,24123569
2022,lakshadweep,6645,18111
2022,manipur,457063,26011343
2022,maharashtra,53432602,2638663712
2022,dadra & nagar haveli & daman & diu,474807,3837881
2022,meghalaya,283487,32596135
2022,andaman & nicobar islands,84642,6068354
2022,haryana,14303933,265475161
2022,rajasthan,26042948,3299787866
2022,ladakh,102299,19734781
2022,punjab,8097582,154625731
2022,assam,5016910,410760707
2022,jharkhand,7836429,414228860
2022,odisha,13493282,725475924
2022,bihar,20694376,336807385
2022,kerala,9933977,104565833
2022,karnataka,34493994,2148016434
2022,chandigarh,598698,2173356
2022,telangana,24506111,1255597644
2022,himachal pradesh,2381576,108832538
2022,west bengal,24372048,256445748
2022,gujarat,21394721,699121904
2022,sikkim,232025,18748536
2022,nagaland,307386,31229366
2022,mizoram,127735,15557163
2022,chhattisgarh,6562237,543206487
2022,jammu & kashmir,1719185,109346235
2022,goa,817830,19712764
2022,arunachal pradesh,373372,59722628
2022,delhi,15009523,49919498
2022,uttarakhand,4081976,152803850
2022,puducherry,520649,24144184
2022,tamil nadu,25136112,1229187623
2022,uttar pradesh,45648650,1682003791
2022,madhya pradesh,22913924,1388282818
2022,andhra pradesh,27778016,1673374802
2022,tripura,678741,16107610
2022,lakshadweep,6961,72377
2022,manipur,477292,12462732
2022,maharashtra,55954028,2982202696
2022,dadra & nagar haveli & daman & diu,500125,24066770
2022,meghalaya,295322,10105924
2022,andaman & nicobar islands,88442,4354093
2022,haryana,14994944,556898878
2022,rajasthan,27255927,1537424924
2022,ladakh,106337,3832339
2022,punjab,8462753,199899443
2022,assam,5247776,248781157
2022,jharkhand,8217638,396098729
2022,odisha,14127239,726099254
2022,bihar,21738117,834827202
2022,kerala,10382102,346981849
2022,karnataka,36081698,3011645011
2022,chandigarh,627563,15308862
2022,telangana,25656381,1731228513
2022,himachal pradesh,2483076,72355717
2022,west bengal,25536381,678066327
2022,gujarat,22412353,790984595
2022,sikkim,241968,8948864
2022,nagaland,321205,11171582
2022,mizoram,132870,3144551
2022,chhattisgarh,6846822,354976814
2022,jammu & kashmir,1793434,60205865
2022,goa,855202,43005212
2022,arunachal pradesh,390307,21775038
2022,delhi,15764149,401864749
2022,uttarakhand,4272049,160685547
2023,puducherry,543819,3498429
2023,tamil nadu,26270663,989061650
2023,uttar pradesh,47806049,1401343916
2023,madhya pradesh,24002818,2588256407
2023,andhra pradesh,29065863,1442038420
2023,tripura,710884,29736641
2023,lakshadweep,7267,43821
2023,manipur,498337,29419074
2023,maharashtra,58470784,3144152925
2023,dadra & nagar haveli & daman & diu,524617,4471284
2023,meghalaya,308324,44686919
2023,andaman & nicobar islands,92484,11012664
2023,haryana,15688161,264946266
2023,rajasthan,28523031,3711332541
